#k-distance eigenvalue[eV]
6.15544262 -105.63150000
6.18138041 -105.63150000
6.20731819 -105.63140000
6.20731819 -105.63380000
6.23650918 -105.63380000
6.26570016 -105.63380000
6.29489115 -105.63380000
6.32408214 -105.63380000
6.35327313 -105.63380000
6.38246411 -105.63380000
6.41165511 -105.63380000
6.44084609 -105.63380000
6.47003708 -105.63380000
6.49922807 -105.63380000
6.52841906 -105.63380000
6.52841906 -105.63380000
6.55761005 -105.63380000
6.58680103 -105.63380000
6.61599202 -105.63380000
6.64518301 -105.63380000
6.67437400 -105.63380000
6.70356498 -105.63380000
6.73275597 -105.63380000
6.76194696 -105.63380000
6.79113795 -105.63380000
6.82032893 -105.63380000
6.84951993 -105.63380000

0.00000000 -29.32540000
0.02612172 -29.32520000
0.05224343 -29.32470000
0.07836515 -29.32370000
0.10448686 -29.32240000
0.13060858 -29.32070000
0.15673028 -29.31870000
0.18285201 -29.31640000
0.20897371 -29.31370000
0.23509543 -29.31080000
0.26121714 -29.30760000
0.28733886 -29.30420000
0.31346057 -29.30060000
0.33958229 -29.29680000
0.36570400 -29.29290000
0.39182572 -29.28890000
0.41794742 -29.28490000
0.44406915 -29.28080000
0.47019085 -29.27670000
